,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Legislators,-0.072598265,-0.095826498,0.120760046,-0.079526587,-0.026501215,0.040206829,-0.01233964,0.08969348,-0.2365265,-0.078125246,-0.240579493,-0.120589897,0.183944663,0.186408959,-0.068931454,-0.029407134,-0.004856517,-0.117643831,0.19418038,-0.137748201,0.080092477,0.002430075,0.111721109,-0.049914892,0.021427328,-0.317280456,0.08625226,-0.101462451,-0.245664851,-0.03532412,0.407516884,0.133616825,-0.230141126,-0.083004131,-0.039807265,-0.177505759,-0.002501767,-0.081151608,-0.033332036,0.006017929,-0.267076884,0.084497238,-0.038231951,0.161722031,-0.019765984,-0.023025583,-0.26820484,0.088234785,0.038090478,-0.016444824
Senior government officials,0.024476227,-0.037938923,0.05783265,0.03385444,0.050570201,-0.098721762,-0.103346644,0.043247418,-0.052159378,-0.190031054,-0.020083655,-0.025559247,-0.073486426,-0.022569759,0.033465342,0.051908821,0.008142728,0.016156761,0.055510944,-0.014453743,0.063811078,0.066509663,0.026828037,-0.063975236,-0.101332881,-0.408732522,0.045296857,-0.053395857,-0.189826942,0.06393145,0.568013825,0.010582857,-0.106178555,-0.12739745,0.024952313,-0.012420832,-0.041043658,-0.068192171,0.003564862,0.00859487,-0.114746026,0.072722671,0.043466161,-0.018720582,0.062792109,-0.069119587,-0.193986811,0.230736702,0.024522942,-0.026968676
Traditional chiefs and heads of villages,0.001671943,0.002120447,-0.073897108,-0.020966177,0.042939251,-0.02634765,-0.089175839,-0.028478605,-0.085024087,-0.185633686,-0.05491827,-0.052048104,0.04488084,0.038338646,-0.113650789,0.037759633,0.073821792,0.013042084,0.020759978,-0.033152189,-0.04431362,0.006066483,0.063279335,0.035441746,-0.08783792,-0.17694725,-0.047991925,-0.009532419,-0.064888326,-0.073142183,0.545443933,0.102287782,-0.052791649,0.03533154,0.035603582,0.098743315,-0.055407628,-0.076661289,-0.047786323,0.10336869,-0.108040453,0.05310033,0.005450904,0.000487807,0.062235973,0.082177331,-0.105278495,0.013629432,-0.060246091,-0.136640865
Senior officials of special-interest organizations,0.008569893,0.064237488,-0.00264094,0.008187385,0.070326907,-0.046314804,-0.099978171,-0.025447988,0.025726603,-0.107818646,-0.006032874,0.020153569,-0.028351126,0.012826731,0.038121515,-0.010750136,0.021996333,-0.006235249,0.034508238,-0.053327492,0.107553657,0.025276086,0.029600704,-0.017263125,-0.122931812,-0.308488654,-0.00575412,-0.087699709,-0.133663337,0.021828661,0.594467351,0.069302374,-0.04567287,-0.165573778,0.000503009,-0.0009575,-0.054700635,-0.05379585,-0.028448712,-0.011358327,-0.068884039,0.020508508,0.035246755,0.017424795,0.037122612,-0.073793981,-0.116730965,0.188519548,-0.033431951,0.042939739
Managing directors and chief executives,0.085845779,-0.030535736,0.020183578,0.120715387,0.080500433,-0.090884216,-0.128703376,-0.019355082,-0.038923176,-0.094339706,0.032125265,0.218937765,-0.211916547,0.065044189,0.060634603,0.021393713,0.04166016,0.084451584,0.034932761,-0.125736544,0.183093615,0.046932712,0.00799768,-0.044659842,-0.160168781,-0.234043514,-0.055025715,-0.110103365,-0.254806232,0.054990972,0.437158225,0.028933956,0.080808153,-0.113767365,-0.026462991,-0.070288836,-0.090281848,-0.002185625,0.105206813,-0.052599902,-0.054617513,0.086517617,-0.034904901,0.017748766,-0.004904664,-0.033370945,-0.185212099,0.11521794,-0.055372323,0.182693967
Agricultural and forestry production managers,-0.032282405,-0.106449908,-0.043384551,0.035754418,-0.046410957,-0.05478208,-0.184967792,-0.135935287,0.07707138,-0.051952784,0.114315536,0.038341122,0.069061356,-0.087320916,-0.010994194,0.027662449,0.112823715,0.144763292,0.023725812,-0.096172008,0.186870218,-0.092628406,-0.0272887,-0.124541221,-0.048951876,-0.080384461,0.001288798,-0.076007395,-0.020697054,0.075699238,0.520286073,-0.026607045,0.039012187,-0.083204976,0.016928027,0.046086116,-0.10386692,0.108497799,0.137077268,0.043857866,-0.146253135,-0.085808499,0.058210394,-0.038461328,0.062369778,-0.035150963,-0.104887115,0.137872409,0.027721687,0.060474743
Aquaculture and fisheries production managers,0.034262746,-0.12544827,-0.077728221,0.072220387,-0.077404671,-0.040259389,-0.180209283,-0.097095158,0.121722147,-0.049946771,0.116792575,0.148003267,0.115127317,0.046337571,0.008650193,0.038865311,0.172436851,0.128512214,-0.053506615,-0.083915601,0.155747667,-0.097194653,0.020222654,-0.116225357,-0.004569534,-0.036165921,0.052795816,-0.051355681,-0.01196813,0.065501827,0.415765368,-0.02113697,0.066740087,-0.048348576,-0.019438044,0.033391842,-0.088273524,0.068232355,0.126077155,0.024699712,-0.155603997,-0.064606065,0.08070702,0.009428543,0.049523024,-0.049035801,-0.080130369,0.147383206,0.01579845,0.13263638
Manufacturing managers,0.002038555,-0.158536492,0.10919347,0.036336273,0.033098098,-0.068249488,-0.200431218,-0.07747275,0.018658506,-0.031627486,0.142827913,0.010987573,-0.052070257,-0.021419309,-0.034027378,0.066069137,-0.022298273,0.103304574,0.011881643,-0.220556074,0.220785752,-0.085931961,-0.098401891,-0.078674264,-0.128862007,-0.133382309,-0.055743742,-0.074205666,0.016132517,0.046834475,0.527059667,0.03939053,0.144974425,-0.123534402,0.042631905,-0.034312332,-0.094692148,0.092014198,0.133996809,-0.028187358,-0.098450115,-0.131120467,0.028218298,0.073741394,0.107485634,-0.08448808,-0.067053771,0.130756163,0.004213163,0.120599282
Mining managers,0.005090148,-0.097451389,0.049089828,0.145108473,-0.043099693,-0.090239162,-0.19267052,0.05518269,-0.019656516,-0.016298026,0.089471287,0.07051154,-0.010459071,-0.029759486,-0.028682951,0.043156404,0.153090871,0.094449113,-0.025725481,-0.186227553,0.222728589,-0.024034937,-0.052662259,-0.08483641,-0.104293516,-0.119200225,-0.080689136,-0.113857403,0.005152921,0.073514789,0.482133068,-0.078405895,0.057624212,-0.085917195,0.057810131,-0.055581864,-0.156823831,-0.015007877,0.187437717,-0.019223857,-0.132550087,-0.12499699,0.09380489,0.096803323,0.030341915,-0.115536062,-0.149358919,0.11867882,0.054417817,-0.00820724
Construction managers,0.115085651,-0.033439342,0.084165761,0.020784518,-0.027413648,-0.093293471,-0.192423963,-0.025282909,-0.088448864,-0.06086647,0.03500871,0.051938881,-0.062767654,-0.015572664,-0.005280315,0.042583982,0.051655247,0.096519591,0.015086504,-0.163688193,0.236994903,-0.076767498,-0.165688013,-0.114385221,-0.088031945,-0.145000388,0.003276622,-0.063105359,-0.016221809,0.032172429,0.58451668,-0.018819276,0.075743302,-0.101384769,0.027346405,0.007719317,0.003292752,0.037957253,0.110481339,0.020139562,-0.121894842,-0.155319353,0.044972264,0.104312558,0.02422704,-0.122205878,-0.123771482,0.106769911,0.035737236,0.057566243
